Auton_community,Name_organ,Num_empl,Sector_organ,TCO2,Type_organ,Unnamed: 0,Year
"Balears, Illes","PARC DE L'AUBA, S.A.",44.0,S. Otros servicios,202.0,Pequeña,0.0,2013.0
"Madrid, Comunidad de","AGUIRRE NEWMAN ARQUITECTURA, S.A.",244.0,L. Actividades inmobiliarias,290.0,Mediana,1.0,2013.0
Castilla y León,"GABINETE DE ESTUDIOS AMBIENTALES Y AGRONÓMICOS. INGENIEROS, S.L.",8.0,"M. Actividades profesionales, científicas y técnicas",11.0,Micro,2.0,2013.0
"Madrid, Comunidad de",CLÍNICA DENTAL DR. KNOBEL,1.0,Q. Actividades sanitarias y de servicios sociales,2.0,Micro,3.0,2013.0
"Balears, Illes","MELIÁ HOTELS INTERNATIONAL, S.A.",8573.0,I. Hostelería,252216.0,Gran empresa,4.0,2013.0
País Vasco,"MIRANDAOLA SERVICIOS MEDIOAMBIENTALES, S.L.",6.0,"M. Actividades profesionales, científicas y técnicas",7.0,Micro,5.0,2013.0
Aragón,"DKV SEGUROS Y REASEGUROS, S.A.E.",1605.0,K. Actividades financieras y de seguros,1532.0,Gran empresa,6.0,2013.0
País Vasco,"IKANKRONITEK, S.L.",43.0,C. Industria manufacturera,327.0,Pequeña,7.0,2013.0
País Vasco,"HERDIT, S.L.",133.0,C. Industria manufacturera,282.0,Mediana,8.0,2013.0
País Vasco,"ITELAZPI, S.A.",44.0,J. Información y comunicaciones,1895.0,Pequeña,9.0,2013.0
Castilla y León,APARTAMENTOS SOTERRAÑA,4.0,I. Hostelería,15.0,Micro,10.0,2013.0
Castilla y León,HOSTERÍA DEL MUDÉJAR,7.0,I. Hostelería,52.0,Micro,11.0,2013.0
"Madrid, Comunidad de",SANITAS S.A. DE HOSPITALES,6807.0,Q. Actividades sanitarias y de servicios sociales,4148.0,Gran empresa,12.0,2013.0
Comunitat Valenciana,"ESPECIALIZADA Y PRIMARIA L´HORTA MANISES, S.A.",5660.0,Q. Actividades sanitarias y de servicios sociales,3261.0,Gran empresa,13.0,2013.0
Castilla y León,CASA RURAL LA FANEGA,13.0,I. Hostelería,1.0,Pequeña,14.0,2013.0
Castilla y León,CASA RURAL LA FANEGA II,2.0,I. Hostelería,6.0,Micro,15.0,2013.0
Castilla y León,CLINICA OCULAR SÁNCHEZ,1.0,Q. Actividades sanitarias y de servicios sociales,2.0,Micro,16.0,2013.0
Castilla y León,CASA RURAL EL CELEMÍN,1.0,I. Hostelería,1.0,Micro,17.0,2013.0
Castilla y León,"PAYPAR 3, S.L. ""RESTAURANTE LA BRUJA Y HOTEL LAS LEYENDAS""",20.0,I. Hostelería,66.0,Pequeña,18.0,2013.0
"Madrid, Comunidad de","MUDANZAS DE LA FUENTE, S.L.",17.0,H. Transporte y almacenamiento,270.0,Pequeña,19.0,2013.0
"Madrid, Comunidad de","AUTOMNIBUS INTERURBANOS, S.A.",4818.0,H. Transporte y almacenamiento,15361.0,Gran empresa,20.0,2013.0
Galicia,GRUPO KALEIDO IDEAS & LOGISTICS,237.0,H. Transporte y almacenamiento,11016.0,Mediana,21.0,2011.0
"Navarra, Comunidad Foral de","INDUSTRIAL TONELERA NAVARRA, S.L.U.",31.0,C. Industria manufacturera,101.0,Pequeña,22.0,2011.0
"Navarra, Comunidad Foral de","INDUSTRIAL TONELERA NAVARRA, S.L.U.",31.0,C. Industria manufacturera,95.0,Pequeña,23.0,2012.0
