,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gasolina,2.205,2.201,2.205,2.205,2.205,2.196,2.18,2.157,-,-
Gasoleo A,2.493,2.467,2.544,2.544,2.544,2.539,2.52,2.493,-,-
Gasoleo B,2.708,2.708,2.708,2.708,2.708,2.708,2.708,2.708,2.708,2.686
Gasoleo C,2.868,2.868,2.868,2.868,2.868,2.868,2.868,2.868,2.868,2.868
E5,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.244
E10,2.065,2.065,2.065,2.065,2.065,2.065,2.065,2.065,2.065,2.125
E85,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.354
E100,0,0,0,0,0,0,0,0,0,0
B7,2.467,2.467,2.467,2.467,2.467,2.467,2.467,2.467,2.467,2.456
B10,2.387,2.387,2.387,2.387,2.387,2.387,2.387,2.387,2.387,2.377
B20,2.122,2.122,2.122,2.122,2.122,2.122,2.122,2.122,2.122,2.113
B30,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.849
B100,0,0,0,0,0,0,0,0,0,0
XTL,0,0,0,0,0,0,0,0,0,0
Gas natural,0.182,0.182,0.182,0.182,0.182,0.182,0.183,0.183,0.182,0.182
LNG,2.743,2.723,2.713,2.713,2.697,2.705,2.704,2.71,2.697,2.721
CNG,2.743,2.723,2.713,2.713,2.697,2.705,2.704,2.71,2.697,2.721
LPG,1.671,1.671,1.671,1.671,1.671,1.671,1.671,1.671,1.671,1.628
H2,0,0,0,0,0,0,0,0,0,0
Gas butano,2.964,2.964,2.964,2.964,2.964,2.964,2.964,2.964,2.964,2.964
Gas propano,2.938,2.938,2.938,2.938,2.938,2.938,2.938,2.938,2.938,2.938
Fueloleo,3.127,3.127,3.127,3.127,3.127,3.127,3.127,3.127,3.127,3.127
Carbon nacional,2.299,2.299,2.299,2.299,2.299,2.006,2.227,2.227,1.914,2.718
Carbon de importacion,2.579,2.579,2.579,2.579,2.579,2.43,2.444,2.444,2.429,2.469
Coque de petroleo,3.169,3.169,3.169,3.169,3.169,3.169,3.169,3.169,3.169,3.169
